cell,stimul,frame,time,mask,int,delta
cell7_01,10,56,9.2,cell,1018.678,-0.06715536681127739
cell7_01,10,56,9.2,up,1643.298,0.13817359796969458
cell7_01,10,56,9.2,down,1447.613,-0.13350084542167398
cell7_01,10,57,9.4,cell,1019.981,-0.06596215702659086
cell7_01,10,57,9.4,up,1651.514,0.14386412657796824
cell7_01,10,57,9.4,down,1448.06,-0.13323328418666408
cell7_01,10,58,9.6,cell,1026.454,-0.06003456920135996
cell7_01,10,58,9.6,up,1660.33,0.14997022446143238
cell7_01,10,58,9.6,down,1466.528,-0.1221788750408823
cell7_01,10,59,9.8,cell,1023.78,-0.062483259120202445
cell7_01,10,59,9.8,up,1643.603,0.13838484568458306
cell7_01,10,59,9.8,down,1464.054,-0.12365973968386818
cell7_01,10,60,10.0,cell,1023.21,-0.06300523116722566
cell7_01,10,60,10.0,up,1639.553,0.13557975307704798
cell7_01,10,60,10.0,down,1458.213,-0.12715599286886453
cell7_01,10,61,10.2,cell,1024.213,-0.06208674351255144
cell7_01,10,61,10.2,up,1661.762,0.15096204979822014
cell7_01,10,61,10.2,down,1460.623,-0.12571343676959362
cell7_01,10,62,10.4,cell,1023.159,-0.06305193392932777
cell7_01,10,62,10.4,up,1673.142,0.1588440137176646
cell7_01,10,62,10.4,down,1454.951,-0.1291085314563423
cell7_01,10,63,10.6,cell,1017.905,-0.06786323416627563
cell7_01,10,63,10.6,up,1632.954,0.13100918366541223
cell7_01,10,63,10.6,down,1453.846,-0.12976995240642292
cell7_01,10,64,10.8,cell,1022.663,-0.06350614118428134
cell7_01,10,64,10.8,up,1666.663,0.154356558161067
cell7_01,10,64,10.8,down,1455.889,-0.12854707186251826
cell7_01,10,65,11.0,cell,1020.917,-0.06510502398095261
cell7_01,10,65,11.0,up,1640.727,0.13639288362550384
cell7_01,10,65,11.0,down,1455.126,-0.12900378153212141
cell7_01,10,66,11.2,cell,1024.75,-0.061594990899829484
cell7_01,10,66,11.2,up,1651.468,0.14383226626687043
cell7_01,10,66,11.2,down,1459.032,-0.12666576322351067
cell7_01,10,67,11.4,cell,1017.044,-0.06865168667941078
cell7_01,10,67,11.4,up,1640.163,0.1360022485068248
cell7_01,10,67,11.4,down,1446.786,-0.13399586363499225
cell7_01,10,68,11.6,cell,1021.501,-0.06457023156786215
cell7_01,10,68,11.6,up,1639.968,0.13586718849238796
cell7_01,10,68,11.6,down,1449.956,-0.13209839357910497
cell7_01,10,69,11.8,cell,1022.524,-0.06363342910452036
