cell,feature,time,int
cell27_01,5,60,0.485359459154266
cell27_01,5,61,0.457048030989636
cell27_01,5,62,0.478400047132526
cell27_01,5,63,0.476345363583251
cell27_01,5,64,0.484517456218302
cell27_01,5,65,0.47279815004836
cell27_01,5,66,0.483788374958882
cell27_01,5,67,0.495915181092002
cell27_01,5,68,0.488224232991786
cell27_01,5,69,0.485749775384057
cell27_01,5,70,0.488013118553031
cell27_01,5,71,0.473895454166074
cell27_01,5,72,0.480358992738645
cell27_01,5,73,0.48569576936484
cell27_01,5,74,0.502044864273054
cell27_01,5,75,0.492787741615566
cell27_01,5,76,0.508059170958509
cell27_01,5,77,0.511220977901719
cell27_01,5,78,0.492282048890176
cell27_01,5,79,0.499072078397101
cell27_01,5,80,0.495949548558776
cell27_01,5,81,0.506218056667043
cell27_01,5,82,0.498598298319431
cell27_01,5,83,0.501907394405959
cell27_01,5,84,0.506701656020935
cell27_01,5,85,0.503124984657381
cell27_01,5,86,0.515907227478263
cell27_01,5,87,0.519793206042783
cell27_01,5,88,0.503372921381965
cell27_01,5,89,0.520755495112456
cell27_01,5,90,0.517532317692863
cell27_01,5,91,0.503876159288299
cell27_01,5,92,0.512472935619916
cell27_01,5,93,0.522594154584866
cell27_01,5,94,0.522120374507195
cell27_01,5,95,0.513177468688783
cell27_01,5,96,0.525672497680196
cell27_01,5,97,0.530582135790771
cell27_01,5,98,0.533252978922924
cell27_01,5,99,0.539989002410632
cell27_01,5,100,0.526929365036503
cell27_01,5,101,0.531667165813208
cell27_01,5,102,0.519184410917071
cell27_01,5,103,0.531920012175903
cell27_01,5,104,0.534492662545844
cell27_01,5,105,0.526040720538489
cell27_01,5,106,0.523549079197372
cell27_01,5,107,0.531615614613047
cell27_01,5,108,0.515909682297318
cell27_01,5,109,0.521703055267796
cell27_01,5,110,0.518214757390233
cell27_01,5,111,0.53454666856506
cell27_01,5,112,0.540705809574776
cell27_01,5,113,0.532339786234357
cell27_01,5,114,0.557057359302046
cell27_01,5,115,0.545460794084868
cell27_01,5,116,0.556350371414123
cell27_01,5,117,0.55858180193538
cell27_01,5,118,0.536488430437793
cell26_01,5,1,-0.028939811758872
cell26_01,5,2,-0.010782483992133
cell26_01,5,3,-0.004489909431155
cell26_01,5,4,0.456104433953097
cell26_01,5,5,0.423760332655379
cell26_01,5,6,0.437022318870687
cell26_01,5,7,0.417903346322798
cell26_01,5,8,0.404738529789209
cell26_01,5,9,0.415132335054465
cell26_01,5,10,0.406929873645907
cell26_01,5,11,0.407539697165661
cell26_01,5,12,0.405693473212999
cell26_01,5,13,0.394388283346792
cell26_01,5,14,0.384755082141888
cell26_01,5,15,0.365572446699079
cell26_01,5,16,0.378258116181432
cell26_01,5,17,0.368149118603973
cell26_01,5,18,0.359226261279222
cell26_01,5,19,0.353593770418198
cell26_01,5,20,0.33937349010042
cell26_01,5,21,0.352662281745167
cell26_01,5,22,0.341936759290594
cell26_01,5,23,0.335168388357062
cell26_01,5,24,0.330541101100028
cell26_01,5,25,0.325746279908996
cell26_01,5,26,0.316743006295925
cell26_01,5,27,0.303052133209582
cell26_01,5,28,0.313445938474838
cell26_01,5,29,0.294276705746749
cell26_01,5,30,0.302938210134463
cell26_01,5,31,0.272668178939644
cell26_01,5,32,0.295761056401974
cell26_01,5,33,0.271505493437696
cell26_01,5,34,0.287729479606094
cell26_01,5,35,0.282582837153665
cell26_01,5,36,0.2630919392723
cell26_01,5,37,0.289344506729838
cell26_01,5,38,0.282854242126743
cell26_01,5,39,0.277486454881436
cell26_01,5,40,0.268741183526723
cell26_01,5,41,0.258873434814222
cell26_01,5,42,0.260629190442524
cell26_01,5,43,0.254403629455146
cell26_01,5,44,0.256176138476848
cell26_01,5,45,0.243781978039652
cell26_01,5,46,0.237630131983233
cell26_01,5,47,0.244820688430441
cell26_01,5,48,0.221680901466592
cell26_01,5,49,0.218149286137907
cell26_01,5,50,0.22585584710183
cell26_01,5,51,0.210596856393262
cell26_01,5,52,0.210925222903899
cell26_01,5,53,0.22392250550349
cell26_01,5,54,0.234772003069222
cell26_01,5,55,0.21490247849702
cell26_01,5,56,0.201365736629954
cell26_01,5,57,0.196916035342959
cell26_01,5,58,0.199968503620408
cell26_01,5,59,0.190043793370347
cell26_01,5,60,0.185319336431594
cell26_01,5,61,0.19077424132258
cell26_01,5,62,0.202625591813622
cell26_01,5,63,0.178112026590986
