cell,stimul,frame,time,mask,int,delta,rel
cell3_01_27,20,53,6.6,cell,2008.848,-0.06726022316501039,2008.848
cell3_01_27,20,53,6.6,up,1667.126,-0.03910977222974301,0.8298915597397115
cell3_01_27,20,53,6.6,down,2096.925,-0.0744479438458913,1.0438445317913552
cell3_01_27,20,54,6.8,cell,2007.314,-0.06797248353397049,2007.314
cell3_01_27,20,54,6.8,up,1626.269,-0.06265873735655968,0.8101717020854734
cell3_01_27,20,54,6.8,down,2098.599,-0.07370906470524395,1.0454761935601506
cell3_01_27,20,55,7.0,cell,2019.009,-0.06254231077322148,2019.009
cell3_01_27,20,55,7.0,up,1668.63,-0.03824290379714308,0.8264599117685955
cell3_01_27,20,55,7.0,down,2106.553,-0.07019828532369739,1.0433598859638564
cell3_01_27,20,56,7.2,cell,2007.838,-0.06772918207808064,2007.838
cell3_01_27,20,56,7.2,up,1645.235,-0.05172720365131449,0.8194062469183271
cell3_01_27,20,56,7.2,down,2100.327,-0.07294635075360793,1.0460639752808745
cell3_01_27,20,57,7.4,cell,2010.166,-0.0666482549992415,2010.166
cell3_01_27,20,57,7.4,up,1601.933,-0.07668540635639351,0.7969157771049754
cell3_01_27,20,57,7.4,down,2102.218,-0.07211169098361755,1.045793232996678
cell3_01_27,20,58,7.6,cell,2021.293,-0.06148181358762505,2021.293
cell3_01_27,20,58,7.6,up,1638.664,-0.05551456566635011,0.8107008731539663
cell3_01_27,20,58,7.6,down,2122.166,-0.06330693525026397,1.0499051844537137
cell3_01_27,20,59,7.8,cell,2008.43,-0.06745430715081566,2008.43
cell3_01_27,20,59,7.8,up,1627.681,-0.06184489545042203,0.8104245604775869
cell3_01_27,20,59,7.8,down,2100.387,-0.07291986763028725,1.0457855140582446
cell3_01_27,20,60,8.0,cell,2017.013,-0.06346908502122965,2017.013
cell3_01_27,20,60,8.0,up,1672.059,-0.03626651293585,0.8289778003413959
cell3_01_27,20,60,8.0,down,2123.133,-0.06288011557941227,1.0526124521755684
cell3_01_27,20,61,8.2,cell,2022.109,-0.06110293193112472,2022.109
cell3_01_27,20,61,8.2,up,1675.832,-0.03409184897561106,0.8287545330147881
cell3_01_27,20,61,8.2,down,2112.115,-0.06774329979186909,1.0445109536627353
cell3_01_27,20,62,8.4,cell,2011.317,-0.0661138275646436,2011.317
cell3_01_27,20,62,8.4,up,1609.756,-0.07217642248124143,0.8003492239164687
cell3_01_27,20,62,8.4,down,2117.282,-0.06546266148856848,1.0526843854051848
cell3_01_27,20,63,8.6,cell,2013.743,-0.06498739754176401,2013.743
cell3_01_27,20,63,8.6,up,1652.975,-0.04726605892503597,0.820847049499365
cell3_01_27,20,63,8.6,down,2112.056,-0.06776934152980099,1.0488210263176583
cell3_01_27,20,64,8.8,cell,2017.799,-0.06310413283739476,2017.799
cell3_01_27,20,64,8.8,up,1651.866,-0.04790525911902079,0.8186474470450228
cell3_01_27,20,64,8.8,down,2117.702,-0.06527727962532359,1.0495108779417575
cell3_01_27,20,65,9.0,cell,2009.057,-0.0671631811721077,2009.057
cell3_01_27,20,65,9.0,up,1649.134,-0.04947991640483381,0.8208497817632849
