cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,49,29.0,cell,462.151,-0.06769490661738503,462.151
cell8_02_22,20,49,29.0,up,494.265,0.019876727109079253,1.0694881110286465
cell8_02_22,20,49,29.0,down,440.975,-0.10990294162469073,0.954179478135934
cell8_02_22,20,50,30.0,cell,458.909,-0.07423504850336268,458.909
cell8_02_22,20,50,30.0,up,494.494,0.02034925049331245,1.0775426064862534
cell8_02_22,20,50,30.0,down,436.606,-0.11872165934801235,0.9513999507527636
cell8_02_22,20,51,31.0,cell,459.674,-0.07269180095778194,459.674
cell8_02_22,20,51,31.0,up,475.296,-0.01926430378837883,1.0339849545547497
cell8_02_22,20,51,31.0,down,439.938,-0.11199610030610176,0.9570652244851786
cell8_02_22,20,52,32.0,cell,460.764,-0.0704929253699609,460.764
cell8_02_22,20,52,32.0,up,486.385,0.0036169704813197702,1.055605472649773
cell8_02_22,20,52,32.0,down,437.956,-0.1159967179594831,0.9504996050038632
cell8_02_22,20,53,33.0,cell,457.346,-0.07738811505727475,457.346
cell8_02_22,20,53,33.0,up,484.926,0.0006064394001140408,1.0603044522090497
cell8_02_22,20,53,33.0,down,436.394,-0.11914957606976655,0.9541878577707031
cell8_02_22,20,54,34.0,cell,458.543,-0.07497338654477777,458.543
cell8_02_22,20,54,34.0,up,482.093,-0.005239231986490293,1.0513583240830195
cell8_02_22,20,54,34.0,down,437.468,-0.11698173380955884,0.9540392067919475
cell8_02_22,20,55,35.0,cell,459.768,-0.07250217315479555,459.768
cell8_02_22,20,55,35.0,up,474.973,-0.01993078873644558,1.033071027126725
cell8_02_22,20,55,35.0,down,440.517,-0.1108274032216881,0.9581288823928591
cell8_02_22,20,56,36.0,cell,462.591,-0.06680728711404446,462.591
cell8_02_22,20,56,36.0,up,489.459,0.009959926302859475,1.0580815450365442
cell8_02_22,20,56,36.0,down,439.133,-0.11362097276370622,0.9492899775395544
cell8_02_22,20,57,37.0,cell,459.965,-0.07210476169534533,459.965
cell8_02_22,20,57,37.0,up,487.405,0.005721659791004337,1.0596567130107726
cell8_02_22,20,57,37.0,down,437.459,-0.1169999000854824,0.9510701901231616
cell8_02_22,20,58,38.0,cell,461.512,-0.06898397221428193,461.512
cell8_02_22,20,58,38.0,up,477.179,-0.015378882249029741,1.0339471129678102
cell8_02_22,20,58,38.0,down,440.853,-0.11014919558720969,0.9552362668793011
cell8_02_22,20,59,39.0,cell,456.851,-0.0783866869985329,456.851
cell8_02_22,20,59,39.0,up,474.374,-0.0211667778506623,1.0383560504409535
cell8_02_22,20,59,39.0,down,436.848,-0.11823318837317967,0.9562154838229533
cell8_02_22,20,60,40.0,cell,458.771,-0.07451343825668308,458.771
cell8_02_22,20,60,40.0,up,477.268,-0.015195237789655303,1.0403185903206609
cell8_02_22,20,60,40.0,down,437.321,-0.11727844964964311,0.9532446471115219
cell8_02_22,20,61,41.0,cell,460.618,-0.07078745365970575,460.618
cell8_02_22,20,61,41.0,up,488.879,0.008763142185587871,1.061354528047102
cell8_02_22,20,61,41.0,down,439.035,-0.11381878332376233,0.953143385625399
cell8_02_22,20,62,42.0,cell,459.381,-0.07328287485432465,459.381
cell8_02_22,20,62,42.0,up,494.887,0.02116017490380852,1.0772909632744934
cell8_02_22,20,62,42.0,down,434.697,-0.12257492831890289,0.9462668242700504
cell8_02_22,20,63,43.0,cell,459.571,-0.07289958461424566,459.571
cell8_02_22,20,63,43.0,up,481.397,-0.006675372927216312,1.0474921176488508
cell8_02_22,20,63,43.0,down,438.992,-0.11390557775317475,0.9552212824569
cell8_02_22,20,64,44.0,cell,459.669,-0.07270188754304716,459.669
cell8_02_22,20,64,44.0,up,480.763,-0.007983581772647753,1.045889542257581
cell8_02_22,20,64,44.0,down,437.912,-0.1160855308639982,0.9526681155353091
cell8_02_22,20,65,45.0,cell,457.862,-0.07634717945790258,457.862
cell8_02_22,20,65,45.0,up,474.934,-0.02001126215122761,1.0372863439202205
cell8_02_22,20,65,45.0,down,438.798,-0.11429716192308195,0.958363000205302
