ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,23,3.0,down,593.015,-0.04042367863776626,-0.009180238115147277
cell4_01_17_03,17_03,cell4_17_03,1,10,20,24,4.0,cell,601.792,-0.03030037401125321,601.792
cell4_01_17_03,17_03,cell4_17_03,1,10,20,24,4.0,up,523.376,0.12959052084626052,0.16486819428148652
cell4_01_17_03,17_03,cell4_17_03,1,10,20,24,4.0,down,559.421,-0.09478319220798426,-0.06650251779367675
cell4_01_17_03,17_03,cell4_17_03,1,10,20,25,5.0,cell,597.587,-0.03707611534261474,597.587
cell4_01_17_03,17_03,cell4_17_03,1,10,20,25,5.0,up,524.914,0.13290995127689081,0.17651212844359165
cell4_01_17_03,17_03,cell4_17_03,1,10,20,25,5.0,down,554.831,-0.10221041633393838,-0.06764699923255857
cell4_01_17_03,17_03,cell4_17_03,1,10,20,26,6.0,cell,600.399,-0.03254498939165433,600.399
cell4_01_17_03,17_03,cell4_17_03,1,10,20,26,6.0,up,521.391,0.1253063404790296,0.16314260498053756
cell4_01_17_03,17_03,cell4_17_03,1,10,20,26,6.0,down,555.543,-0.1010583066220257,-0.07082286275892424
cell4_01_17_03,17_03,cell4_17_03,1,10,20,27,7.0,cell,604.357,-0.026167252366796193,604.357
cell4_01_17_03,17_03,cell4_17_03,1,10,20,27,7.0,up,528.376,0.1403819071617035,0.17100545949198848
cell4_01_17_03,17_03,cell4_17_03,1,10,20,27,7.0,down,559.539,-0.09459225267707747,-0.07026838016302579
cell4_01_17_03,17_03,cell4_17_03,1,10,20,28,8.0,cell,598.488,-0.035624285868284866,598.488
cell4_01_17_03,17_03,cell4_17_03,1,10,20,28,8.0,up,526.276,0.1358495249092174,0.17778904893056216
cell4_01_17_03,17_03,cell4_17_03,1,10,20,28,8.0,down,560.069,-0.0937346429196144,-0.06026179425643436
cell4_01_17_03,17_03,cell4_17_03,1,10,20,29,9.0,cell,608.152,-0.020052165957160695,608.152
cell4_01_17_03,17_03,cell4_17_03,1,10,20,29,9.0,up,529.631,0.14309054512687971,0.1664621509024019
cell4_01_17_03,17_03,cell4_17_03,1,10,20,29,9.0,down,561.346,-0.09166828884361361,-0.07308632646456063
cell4_01_17_03,17_03,cell4_17_03,1,10,20,30,10.0,cell,602.334,-0.02942702043180081,602.334
cell4_01_17_03,17_03,cell4_17_03,1,10,20,30,10.0,up,482.032,0.04035870568112533,0.07188423969701488
cell4_01_17_03,17_03,cell4_17_03,1,10,20,30,10.0,down,585.54,-0.05251921248123181,-0.023797342397893446
cell4_01_17_03,17_03,cell4_17_03,1,10,20,31,11.0,cell,596.182,-0.03934006696462727,596.182
cell4_01_17_03,17_03,cell4_17_03,1,10,20,31,11.0,up,480.964,0.03805366556414674,0.08054561425998465
cell4_01_17_03,17_03,cell4_17_03,1,10,20,31,11.0,down,579.424,-0.06241570545603246,-0.024025622746520967
cell4_01_17_03,17_03,cell4_17_03,1,10,20,32,12.0,cell,604.839,-0.025390579995400994,604.839
cell4_01_17_03,17_03,cell4_17_03,1,10,20,32,12.0,up,473.115,0.021113347326164315,0.04769850589428639
