"","power","mean_yfp","mean_fluo"
"151","100",0.166166004427195,0.918525880649965
"152","20",0.0877669116289069,0.429372166136934
"153","50",0.0955364410316355,0.541746242490161
"154","75",0.102066777154766,NA
"155","100",0.168682441158859,0.890081405829961
"156","20",0.0808976990364491,0.405434122738818
"157","50",0.095790866271972,0.535614682004176
"158","75",0.0932055605641823,NA
"159","100",0.162402238902241,0.884075906465872
"160","20",0.0859605390606481,0.411909419027575
"161","50",0.107606026096418,0.525317912386927
"162","75",0.0898364581676879,NA
"163","100",0.169830166103953,0.855011256899619
"164","20",0.106523048599655,0.39805101372827
"165","50",0.0741802190254858,0.514018868334624
"166","75",0.098652539158409,NA
"167","100",0.169097885371002,0.800487210108169
"168","20",0.0896458617982485,0.39322174481005
"169","50",0.0900610087318774,0.506660747168961
"170","75",0.0919327610315176,NA
"171","100",0.156152199730596,0.812353925611534
"172","20",0.0851618510933991,0.378764284457861
"173","50",0.0852734355826369,0.494787443960149
"174","75",0.0884651431340186,NA
"175","100",0.160016239448336,0.767970554734556
"176","20",0.0821996358368841,0.37668884940487
"177","50",0.0805405448026097,0.485563636103152
"178","75",0.0775968065763471,NA
"179","100",0.151642154279304,0.750514157583988
"180","20",0.0752232360930322,0.36369268765813
"181","50",0.0874744070251768,0.486957208351485
"182","75",0.0872054846175314,NA
"183","100",0.162691976256542,0.75016808872185
"184","20",0.0906932658211688,0.365330682257407
"185","50",0.0903936462646642,0.477687397458763
"186","75",0.0833238524795218,NA
"187","100",0.148296727235575,0.712775518427565
"188","20",0.0736554143731167,0.361645005646896
"189","50",0.088477118352042,0.465357262827753
"190","75",0.0896932793056798,NA
"191","100",0.154832696826365,0.70731538654039
"192","20",0.0817689710501557,0.337256071086633
"193","50",0.0848055843248296,0.455966412764587
"194","75",0.0744136599346597,NA
"195","100",0.162883430299738,0.689827478248607
"196","20",0.0699630976741144,0.339675763665368
"197","50",0.0768691127124227,0.443841072617655
"198","75",0.0970300956117821,NA
"199","100",0.151790015518313,0.687279118599926
